mdn_hash,city,lat,lon,app_name,category,url,protocol,host,timestamp,duration_minutes,upstream_gb,downstream_gb,total_gb
04cc366e-df4f-4446-b27a-f7b07d391334,Prosper,32.74370601352626,-97.10829669325868,Snapchat,Social Media,http://www.snapchat.com/64f57556-0332-491f-a67c-3e632124f627,http,www.snapchat.com,2024-09-14 16:47:26,58,1.66,0.8,2.46
04cc366e-df4f-4446-b27a-f7b07d391334,Prosper,32.74370601352626,-97.10829669325868,Target,Shopping,http://www.target.com/5e609b2b-3e85-4132-bb89-64aeeb490fd4,http,www.target.com,2024-09-14 16:47:26,15,1.26,3.62,4.88
04cc366e-df4f-4446-b27a-f7b07d391334,Prosper,32.74370601352626,-97.10829669325868,PUBG Mobile,Gaming,https://www.pubgmobile.com/62a9f0a1-ce8a-4345-b969-ebb172fef5b7,https,www.pubgmobile.com,2024-09-14 16:47:26,23,1.27,1.98,3.25
7923340b-be3b-4e3c-910a-390567909198,Princeton,32.747059398601245,-97.11254749498671,Hulu,Streaming,https://www.hulu.com/5fa85cfc-9a0e-492f-a987-541e646fb962,https,www.hulu.com,2024-09-14 14:59:18,20,1.09,4.62,5.71
e1ee0e82-bacb-4211-93b6-5280f16e42cb,Murphy,32.74440229480181,-97.07896726838118,Facebook,Social Media,https://www.facebook.com/6e968be4-f82a-41d5-8e42-8fa21f96227c,https,www.facebook.com,2024-09-14 14:15:44,28,1.05,1.86,2.91
e1ee0e82-bacb-4211-93b6-5280f16e42cb,Murphy,32.74440229480181,-97.07896726838118,Call of Duty Mobile,Gaming,https://www.callofdutymobile.com/3b6738e8-657d-4f52-b906-d5c54fe13e25,https,www.callofdutymobile.com,2024-09-14 14:15:44,54,0.98,0.7,1.68
e1ee0e82-bacb-4211-93b6-5280f16e42cb,Murphy,32.74440229480181,-97.07896726838118,Snapchat,Social Media,http://www.snapchat.com/c1b089e5-4533-43b4-aaab-6417a4a92e88,http,www.snapchat.com,2024-09-14 14:15:44,38,0.3,3.84,4.14
e1ee0e82-bacb-4211-93b6-5280f16e42cb,Murphy,32.74440229480181,-97.07896726838118,BBC,News,https://www.bbc.com/454ef4d4-6ad8-4920-ae0f-bfb410197243,https,www.bbc.com,2024-09-14 14:15:44,60,0.49,4.22,4.71
36e7cee6-fd8f-4126-845c-3a7741cb41b4,Murphy,32.75033071798756,-97.08552854823697,Target,Shopping,http://www.target.com/be30890c-7039-4b8d-a5b6-d052ffa1dea2,http,www.target.com,2024-09-14 15:00:24,22,0.41,2.35,2.76
97eab408-73fd-4cd5-9b63-30f6ac572b2a,DFW,32.745430701968125,-97.07978568109176,Apple Health,Health,http://www.applehealth.com/0d2b8538-6b87-46da-8cdb-d0741f9c3813,http,www.applehealth.com,2024-09-14 16:19:04,15,0.71,2.14,2.85
97eab408-73fd-4cd5-9b63-30f6ac572b2a,DFW,32.745430701968125,-97.07978568109176,Target,Shopping,https://www.target.com/2b844a5d-a199-4b61-aa25-f7959d25d80b,https,www.target.com,2024-09-14 16:19:04,23,0.23,3.4,3.63
97eab408-73fd-4cd5-9b63-30f6ac572b2a,DFW,32.745430701968125,-97.07978568109176,Netflix,Streaming,https://www.netflix.com/40720daf-0c00-46ea-8fff-d08d2f6cd8c5,https,www.netflix.com,2024-09-14 16:19:04,46,0.47,4.21,4.68
97eab408-73fd-4cd5-9b63-30f6ac572b2a,DFW,32.745430701968125,-97.07978568109176,Microsoft Office,Productivity,http://www.microsoftoffice.com/752dad6a-43a9-40d6-9d2c-ffe92ed407a5,http,www.microsoftoffice.com,2024-09-14 16:19:04,52,1.19,1.14,2.33
04ca73bd-1d1c-4755-aa73-2a7e138645dc,Gunter,32.75105645101786,-97.08316608166804,eBay,Shopping,https://www.ebay.com/633bd325-166c-465e-bc4b-41ab5c661999,https,www.ebay.com,2024-09-14 13:57:01,54,1.74,3.26,5.0
04ca73bd-1d1c-4755-aa73-2a7e138645dc,Gunter,32.75105645101786,-97.08316608166804,Netflix,Streaming,http://www.netflix.com/55561bc1-b8ca-4c3d-8836-83bc8421949b,http,www.netflix.com,2024-09-14 13:57:01,34,1.18,3.35,4.53
